;Month;Avg. Players;Gain;% Gain;Peak Players
0;Last 30 Days;5125.9;+89.8;+1.78%;7814
1;November 2019;5036.05;724.27;+16.80%;7814
2;October 2019;4311.78;216.80;+5.29%;6751
3;September 2019;4094.98;137.00;+3.46%;6720
4;August 2019;3957.98;-87.14;-2.15%;5803
5;July 2019;4045.12;-356.11;-8.09%;5612
6;June 2019;4401.23;-319.04;-6.76%;6433
7;May 2019;4720.26;16.37;+0.35%;7905
8;April 2019;4703.9;-646.29;-12.08%;7395
9;March 2019;5350.18;-147.72;-2.69%;8332
10;February 2019;5497.91;-363.49;-6.20%;8384
11;January 2019;5861.4;240.86;+4.29%;9052
12;December 2018;5620.54;-206.45;-3.54%;9089
13;November 2018;5826.98;645.86;+12.47%;9315
14;October 2018;5181.13;402.46;+8.42%;8602
15;September 2018;4778.67;95.88;+2.05%;7778
16;August 2018;4682.79;-829.03;-15.04%;6956
17;July 2018;5511.82;-490.66;-8.17%;8192
18;June 2018;6002.47;-1659.57;-21.66%;9603
19;May 2018;7662.04;2872.83;+59.99%;13151
20;April 2018;4789.21;-100.65;-2.06%;7795
21;March 2018;4889.86;-571.44;-10.46%;7504
22;February 2018;5461.3;-373.88;-6.41%;8115
23;January 2018;5835.18;52.64;+0.91%;8407
24;December 2017;5782.55;268.26;+4.86%;8707
25;November 2017;5514.29;117.17;+2.17%;8431
26;October 2017;5397.12;336.44;+6.65%;8245
27;September 2017;5060.68;-232.61;-4.39%;7931
28;August 2017;5293.28;-773.21;-12.75%;7369
29;July 2017;6066.49;-174.83;-2.80%;8628
30;June 2017;6241.32;260.82;+4.36%;10755
31;May 2017;5980.5;-872.18;-12.73%;9649
32;April 2017;6852.68;-1180.40;-14.69%;10848
33;March 2017;8033.09;-3397.31;-29.72%;13053
34;February 2017;11430.4;-5487.61;-32.44%;20039
35;January 2017;16918.01;9741.85;+135.75%;39579
36;December 2016;7176.16;1191.81;+19.92%;14985
37;November 2016;5984.35;702.53;+13.30%;9348
38;October 2016;5281.83;224.29;+4.43%;8266
39;September 2016;5057.54;-158.68;-3.04%;7930
40;August 2016;5216.21;-30.67;-0.58%;7921
41;July 2016;5246.88;109.94;+2.14%;7432
42;June 2016;5136.95;-219.46;-4.10%;7623
43;May 2016;5356.41;-440.39;-7.60%;8242
44;April 2016;5796.8;-1657.36;-22.23%;10487
45;March 2016;7454.16;-1825.20;-19.67%;12070
46;February 2016;9279.36;-2492.64;-21.17%;15221
47;January 2016;11772.0;-2439.12;-17.16%;20743
48;December 2015;14211.11;-5670.00;-28.52%;23397
49;November 2015;19881.12;11572.98;+139.30%;53281
50;October 2015;8308.14;2405.12;+40.74%;69673
51;September 2015;5903.02;66.29;+1.14%;10247
52;August 2015;5836.74;491.42;+9.19%;8727
53;July 2015;5345.31;-704.75;-11.65%;7729
54;June 2015;6050.07;354.07;+6.22%;9711
55;May 2015;5696.0;-133.10;-2.28%;9105
56;April 2015;5829.1;-1220.25;-17.31%;9538
57;March 2015;7049.35;-1113.11;-13.64%;12872
58;February 2015;8162.46;-2894.19;-26.18%;14707
59;January 2015;11056.66;-2317.37;-17.33%;19888
60;December 2014;13374.03;-5979.85;-30.90%;22392
61;November 2014;19353.88;-;-;65836
